Material,Description,Units,Plant,Branch,Expiry,unitCost
1000000636,N/A,448.0,1091,Plant 1091,,0.0
1000000032,N/A,120.0,1079,Plant 1079,,0.0
1000000032,N/A,90.0,1079,Plant 1079,,0.0
3000000684,N/A,2000.0,1080,Plant 1080,,0.0
3000000730,N/A,9100.0,1079,Plant 1079,,0.0
3000000730,N/A,9100.0,1079,Plant 1079,,0.0
3000000730,N/A,9100.0,1079,Plant 1079,,0.0
3000001099,N/A,100.0,1079,Plant 1079,,0.0
3000001070,N/A,2720.0,1079,Plant 1079,,0.0
3000001099,N/A,200.0,1079,Plant 1079,,0.0
4000002540,N/A,12.0,1078,Plant 1078,,0.0
1000000473,N/A,5.0,1079,Plant 1079,,0.0
4000002540,N/A,4.0,1078,Plant 1078,,0.0
4000002540,N/A,3.0,1078,Plant 1078,,0.0
3000000684,N/A,1600.0,1079,Plant 1079,,0.0
1000000058,N/A,100.0,1086,Plant 1086,,0.0
4000002540,N/A,2.0,1078,Plant 1078,,0.0
1000000029,N/A,10.0,1087,Plant 1087,,0.0
4000002540,N/A,3.0,1078,Plant 1078,,0.0
3000000681,N/A,2000.0,1080,Plant 1080,,0.0
1000000911,N/A,50.0,1080,Plant 1080,,0.0
3000000323,N/A,1.0,1080,Plant 1080,,0.0
1000000062,N/A,2000.0,1079,Plant 1079,,0.0
1000000821,N/A,4.0,1087,Plant 1087,,0.0
1000000732,N/A,5.0,1079,Plant 1079,,0.0
3000000869,N/A,180.0,1086,Plant 1086,,0.0
4000002540,N/A,2.0,1078,Plant 1078,,0.0
4000002540,N/A,2.0,1078,Plant 1078,,0.0
3000001099,N/A,100.0,1079,Plant 1079,,0.0
1000000636,N/A,5.0,1080,Plant 1080,,0.0
4000002540,N/A,3.0,1078,Plant 1078,,0.0
3000001099,N/A,100.0,1079,Plant 1079,,0.0
4000002540,N/A,5.0,1078,Plant 1078,,0.0
4000002905,N/A,100.0,1078,Plant 1078,,0.0
4000002905,N/A,400.0,1078,Plant 1078,,0.0
3000000880,N/A,10000.0,1086,Plant 1086,,0.0
1000000680,N/A,24.0,1078,Plant 1078,,0.0
3000000605,N/A,5.0,1086,Plant 1086,,0.0
1000000821,N/A,20.0,1087,Plant 1087,,0.0
4000000674,N/A,1.0,1075,Plant 1075,,0.0
1000000412,N/A,3.0,1075,Plant 1075,,0.0
4000000674,N/A,1.0,1075,Plant 1075,,0.0
1000000029,N/A,18.0,1087,Plant 1087,,0.0
1000000679,N/A,10.0,1078,Plant 1078,,0.0
3000000605,N/A,5.0,1086,Plant 1086,,0.0
1000000058,N/A,15.0,1086,Plant 1086,,0.0
4000002751,N/A,1.0,1075,Plant 1075,,0.0
1000000032,N/A,30.0,1079,Plant 1079,,0.0
1000000636,N/A,100.0,1075,Plant 1075,,0.0
1000000032,N/A,30.0,1079,Plant 1079,,0.0
1000000032,N/A,30.0,1079,Plant 1079,,0.0
3000001099,N/A,300.0,1079,Plant 1079,,0.0
4000002905,N/A,700.0,1078,Plant 1078,,0.0
4000002905,N/A,800.0,1078,Plant 1078,,0.0
4000002751,N/A,1.0,1075,Plant 1075,,0.0
4000002905,N/A,800.0,1078,Plant 1078,,0.0
1000000868,N/A,30.0,1080,Plant 1080,,0.0
1000000031,N/A,300.0,1088,Plant 1088,,0.0
1000000868,N/A,100.0,1080,Plant 1080,,0.0
3000000880,N/A,100.0,1088,Plant 1088,,0.0
1000000868,N/A,30.0,1080,Plant 1080,,0.0
1000000868,N/A,50.0,1080,Plant 1080,,0.0
1000000537,N/A,1100.0,1080,Plant 1080,,0.0
1000000537,N/A,400.0,1080,Plant 1080,,0.0
1000000868,N/A,30.0,1080,Plant 1080,,0.0
1000000868,N/A,40.0,1080,Plant 1080,,0.0
3000000323,N/A,4.0,1080,Plant 1080,,0.0
1000000868,N/A,25.0,1080,Plant 1080,,0.0
1000000868,N/A,30.0,1080,Plant 1080,,0.0
1000000868,N/A,15.0,1080,Plant 1080,,0.0
1000000868,N/A,30.0,1080,Plant 1080,,0.0
1000000241,N/A,500.0,1075,Plant 1075,,0.0
3000001099,N/A,100.0,1079,Plant 1079,,0.0
3000000681,N/A,50000.0,1086,Plant 1086,,0.0
1000000778,N/A,100.0,1075,Plant 1075,,0.0
1000000684,N/A,217.0,1075,Plant 1075,,0.0
3000000880,N/A,200.0,1088,Plant 1088,,0.0
3000000880,N/A,1000.0,1088,Plant 1088,,0.0
3000000684,N/A,10000.0,1088,Plant 1088,,0.0
1000000868,N/A,30.0,1080,Plant 1080,,0.0
4000001572,N/A,1000.0,1078,Plant 1078,,0.0
4000001951,N/A,5760.0,1078,Plant 1078,,0.0
1000000031,N/A,300.0,1078,Plant 1078,,0.0
1000000941,N/A,1776.0,1078,Plant 1078,,0.0
1000000941,N/A,144.0,1078,Plant 1078,,0.0
1000000035,N/A,170000.0,1078,Plant 1078,,0.0
1000000806,N/A,58000.0,1078,Plant 1078,,0.0
1000000806,N/A,167000.0,1078,Plant 1078,,0.0
1000000610,N/A,800000.0,1078,Plant 1078,,0.0
1000000778,N/A,200.0,1075,Plant 1075,,0.0
4000002913,N/A,200.0,1078,Plant 1078,,0.0
4000002913,N/A,400.0,1078,Plant 1078,,0.0
1000000868,N/A,5.0,1078,Plant 1078,,0.0
1000000030,N/A,180.0,1078,Plant 1078,,0.0
4000002913,N/A,300.0,1075,Plant 1075,,0.0
3000001099,N/A,500.0,1088,Plant 1088,,0.0
3000000684,N/A,10000.0,1088,Plant 1088,,0.0
4000002544,N/A,4000.0,1087,Plant 1087,,0.0
1000000230,N/A,3000.0,1078,Plant 1078,,0.0
1000000765,N/A,24000.0,1078,Plant 1078,,0.0
